doy,d2_pinball
0,0.11853623390197754
1,0.3406490087509155
2,0.07300955057144165
4,-0.004895210266113281
5,-0.047926902770996094
6,0.3023279905319214
7,0.24300771951675415
8,-0.9414348602294922
9,0.18019062280654907
10,0.11002957820892334
11,0.20794254541397095
12,0.24809014797210693
13,-0.08530426025390625
14,0.18320220708847046
15,-0.14143037796020508
16,0.34191304445266724
17,0.205608069896698
18,-0.8410061597824097
19,0.3123944401741028
20,0.1964554786682129
21,0.3296049237251282
22,0.23506146669387817
23,0.10136353969573975
24,0.20606988668441772
25,0.30662596225738525
26,0.2555645704269409
27,0.28043681383132935
28,0.2656176686286926
29,-0.13130486011505127
30,0.24694949388504028
31,0.09634393453598022
32,0.27008116245269775
33,0.19600892066955566
34,0.15937262773513794
35,0.3362312912940979
36,0.09585678577423096
37,0.28407710790634155
38,0.2530260682106018
39,0.1350376009941101
40,0.32810497283935547
41,0.18391096591949463
42,-0.08184123039245605
43,0.26545149087905884
44,0.33220237493515015
45,0.29069823026657104
46,0.34825021028518677
47,0.30151915550231934
48,0.1482524275779724
49,0.05518507957458496
50,0.32956576347351074
51,0.37466973066329956
52,0.3487433195114136
53,0.21034705638885498
54,0.327656090259552
55,0.33815234899520874
56,0.2994842529296875
57,0.3116720914840698
58,0.33688175678253174
60,0.3739485740661621
61,0.23050051927566528
62,0.324934184551239
63,0.30163055658340454
64,0.35344916582107544
65,0.30898022651672363
66,0.35106927156448364
67,0.2396596074104309
68,0.3065142035484314
69,0.2614670395851135
70,0.14134401082992554
71,0.31270503997802734
72,0.2757328152656555
73,0.2819306254386902
74,0.3555085062980652
75,-1.3948707580566406
76,0.38867831230163574
77,0.276334285736084
78,0.35283899307250977
79,0.37087148427963257
80,0.33246999979019165
81,0.34026873111724854
82,0.2933288812637329
83,0.24378520250320435
84,0.33742672204971313
85,0.3360195755958557
86,0.2872072458267212
87,0.2503247857093811
88,0.35884708166122437
89,0.34659868478775024
90,0.3792644143104553
91,0.2501729726791382
92,0.2807607650756836
93,0.3464636206626892
94,0.2866520285606384
95,0.2761286497116089
96,0.30053216218948364
97,0.23736876249313354
98,0.25216662883758545
99,0.34787869453430176
100,0.27646535634994507
101,0.29414767026901245
102,0.2791476845741272
103,0.23170703649520874
104,0.2666330933570862
105,0.21671056747436523
106,0.3208155632019043
107,0.15015292167663574
108,0.252710223197937
109,0.22983205318450928
110,0.16953104734420776
111,0.28715991973876953
112,0.24977290630340576
113,0.15705788135528564
114,0.2120652198791504
115,0.2596396803855896
116,0.3367829918861389
117,0.27270054817199707
118,0.10930943489074707
119,0.2386907935142517
120,0.21015697717666626
121,-0.19770407676696777
122,0.310022234916687
123,0.05752849578857422
124,0.3611799478530884
125,-0.09301543235778809
126,0.31303226947784424
127,0.4171430468559265
128,0.06971335411071777
129,0.28696542978286743
130,0.30313992500305176
131,0.30511075258255005
132,0.27376753091812134
133,0.3236355185508728
134,0.34035050868988037
135,0.1325480341911316
136,0.33407413959503174
137,0.3357132077217102
138,0.23238742351531982
139,0.40814489126205444
140,0.2846248745918274
141,0.15710705518722534
142,0.08255767822265625
143,0.03685605525970459
144,0.327731728553772
145,0.3381878733634949
146,0.19366353750228882
147,0.30157554149627686
148,0.27382028102874756
149,0.21254223585128784
150,0.2793886661529541
151,0.27914726734161377
152,0.29475152492523193
153,0.28830844163894653
154,0.18078505992889404
155,0.2734902501106262
156,0.28868550062179565
157,0.3342140316963196
158,0.14068090915679932
159,0.21904271841049194
160,0.24284839630126953
161,0.24029594659805298
162,0.17905300855636597
163,0.2647964358329773
164,0.25654494762420654
165,0.251548171043396
166,0.24369317293167114
167,0.15632563829421997
168,0.08052599430084229
169,0.1317354440689087
170,0.27403175830841064
171,0.12226945161819458
172,0.0514066219329834
173,0.22866952419281006
174,0.24667888879776
175,0.17249780893325806
176,0.244127094745636
177,0.19107341766357422
178,0.2153780460357666
179,0.05748993158340454
180,0.13104712963104248
181,0.26346975564956665
182,0.2142806053161621
183,0.22669917345046997
184,0.23144567012786865
185,0.25824737548828125
186,0.07398152351379395
187,0.3092450499534607
188,0.18335819244384766
189,0.1858852505683899
190,0.2425837516784668
191,0.21145737171173096
192,0.18844419717788696
193,0.14159828424453735
194,0.08181548118591309
195,0.20411813259124756
196,0.27913832664489746
197,0.19507354497909546
198,0.21540415287017822
199,0.11386734247207642
200,0.1702866554260254
201,0.10073435306549072
202,0.20954281091690063
203,0.13197308778762817
204,0.14499962329864502
205,0.18538403511047363
206,0.20780956745147705
207,0.16565412282943726
208,0.12222558259963989
209,0.20911544561386108
210,0.16607916355133057
211,0.14932626485824585
212,0.11214721202850342
213,0.15816915035247803
214,0.10647153854370117
215,0.23453760147094727
216,0.10254615545272827
217,0.13298016786575317
218,0.17719429731369019
219,0.20016002655029297
220,0.19625669717788696
221,0.10285645723342896
222,0.21189630031585693
223,0.19239485263824463
224,0.1930878758430481
225,0.1335080862045288
226,0.2175319790840149
227,0.08013874292373657
228,0.07435870170593262
229,0.17459076642990112
230,0.167316734790802
231,0.0652802586555481
232,0.18888479471206665
233,0.1596103310585022
234,0.11346733570098877
235,0.07983636856079102
236,0.15461313724517822
237,0.2509114742279053
238,0.1761254072189331
239,0.10427671670913696
240,0.10977452993392944
241,0.23619335889816284
242,0.056070923805236816
243,0.15677881240844727
245,0.10342562198638916
246,0.12658476829528809
247,0.2258453369140625
248,0.15802448987960815
249,0.03546953201293945
250,0.12663739919662476
251,0.15434974431991577
252,0.042496681213378906
253,0.08103042840957642
254,0.05376386642456055
255,0.08753889799118042
256,0.0003935694694519043
257,0.16281461715698242
258,0.11087137460708618
259,0.12815552949905396
260,0.13955801725387573
261,0.1221303939819336
262,0.17248070240020752
263,0.14315485954284668
264,-0.08962118625640869
265,-0.004472136497497559
266,0.11827021837234497
267,0.16255253553390503
268,-0.06306302547454834
269,-0.10134243965148926
270,0.1504364013671875
271,0.07477247714996338
272,0.08063191175460815
273,0.06528419256210327
274,0.048878014087677
275,0.10872113704681396
276,0.015230119228363037
277,0.11016947031021118
278,-0.04169881343841553
279,0.07614898681640625
280,0.09573829174041748
281,0.006025969982147217
282,0.05722641944885254
283,0.06267833709716797
284,0.05250626802444458
285,0.11804366111755371
286,0.1369965672492981
287,-0.006278634071350098
288,0.03862488269805908
289,0.10259431600570679
290,0.13279712200164795
291,0.028186380863189697
292,0.1409522294998169
293,0.09928417205810547
294,0.1524333357810974
295,0.20024430751800537
296,0.12104785442352295
297,0.16827070713043213
298,0.13024193048477173
299,-0.29374945163726807
300,0.18280029296875
301,0.024126291275024414
302,0.2884470820426941
303,0.20391219854354858
304,0.21653485298156738
305,0.17037391662597656
306,-0.01995396614074707
307,0.27705663442611694
308,0.11196744441986084
309,-0.12234640121459961
310,0.11996567249298096
311,-0.007319211959838867
312,-0.3798689842224121
313,0.19709402322769165
314,0.2662609815597534
315,0.332439124584198
316,0.12174242734909058
317,0.31491756439208984
318,0.26604312658309937
319,0.20025724172592163
320,0.23660123348236084
321,0.21667265892028809
322,-0.010212063789367676
323,0.33612173795700073
325,0.16193687915802002
326,0.26112836599349976
327,0.16057443618774414
328,0.15402376651763916
330,0.17754048109054565
331,0.11282563209533691
332,0.14409619569778442
333,-0.016948580741882324
334,0.2408386468887329
336,0.12418901920318604
337,0.18327546119689941
339,0.23927873373031616
340,0.07660782337188721
341,0.27171242237091064
343,-0.5749764442443848
344,0.24687504768371582
345,0.06314170360565186
346,0.2106398344039917
347,0.15491032600402832
348,0.23327767848968506
349,0.20349246263504028
350,0.26204073429107666
351,0.3142307996749878
352,0.26472556591033936
353,0.1324557662010193
354,0.10340660810470581
355,0.15705561637878418
356,0.2859653830528259
357,-0.1846318244934082
358,0.10409772396087646
359,0.2739333510398865
360,0.37973928451538086
361,0.2551189064979553
362,0.23056745529174805
363,0.32748734951019287
364,0.2525780200958252
